112,169,b,
110,179,b,
111,170,b,
110,174,b,
111,193,b,
111,214,b,
110,199,b,
110,193,b,
111,206,b,
112,174,b,
112,162,b,
110,183,b,
110,174,b,
110,174,b,
111,195,b,
110,216,b,
110,193,b,
112,165,b,
113,168,b,
112,183,b,
112,187,b,
112,199,b,
111,218,b,
111,207,b,
111,195,b,
111,195,b,
112,166,b,
111,175,b,
112,166,b,
113,159,b,
110,181,b,
110,196,b,
109,212,b,
110,170,b,
111,197,b,
110,189,b,
112,172,b,
113,159,b,
111,177,b,
110,183,b,
109,214,b,
110,185,b,
111,173,b,
110,185,b,
112,183,b,
112,174,b,
113,169,b,
111,192,b,
108,200,b,
108,210,b,
108,203,b,
111,206,b,
109,211,b,
108,225,b,
109,217,b,
109,196,b,
108,212,b,
110,195,b,
108,201,b,
109,211,b,
110,219,b,
108,222,b,
109,216,b,
108,214,b,
110,204,b,
108,200,b,
108,211,b,
108,211,b,
109,212,b,
108,224,b,
110,203,b,
109,218,b,
109,199,b,
108,212,b,
110,203,b,
110,197,b,
109,210,b,
110,220,b,
110,213,b,
111,187,b,
112,176,b,
111,191,b,
110,197,b,
110,205,b,
110,193,b,
111,205,b,
110,220,b,
111,201,b,
112,165,b,
111,160,b,
74,241,g,
74,231,g,
75,244,g,
74,235,g,
74,180,g,
73,214,g,
74,241,g,
74,228,g,
75,236,g,
75,254,g,
74,233,g,
74,186,g,
74,199,g,
74,195,g,
75,204,g,
74,238,g,
74,228,g,
75,240,g,
75,252,g,
74,236,g,
75,193,g,
74,199,g,
73,195,g,
73,222,g,
74,237,g,
73,165,g,
74,177,g,
74,171,g,
73,219,g,
73,206,g,
74,219,g,
75,232,g,
74,207,g,
73,165,g,
74,181,g,
74,165,g,
74,175,g,
73,220,g,
74,219,g,
75,235,g,
73,213,g,
74,165,g,
74,177,g,
74,161,g,
73,173,g,
74,213,g,
75,211,g,
76,228,g,
75,203,g,
76,168,g,
75,158,g,
74,173,g,
75,214,g,
74,221,g,
75,219,g,
76,231,g,
75,219,g,
77,153,g,
78,174,g,
76,158,g,
75,214,g,
73,206,g,
74,221,g,
75,208,g,
76,234,g,
75,218,g,
77,154,g,
77,172,g,
75,153,g,
73,169,g,
75,223,g,
75,206,g,
73,211,g,
74,224,g,
76,231,g,
76,222,g,
74,176,g,
75,245,g,
74,219,g,
73,183,g,
74,202,g,
73,182,g,
73,183,g,
74,200,g,
73,184,g,
76,242,g,
77,254,g,
75,236,g,
74,227,g,
75,201,g,
7,196,o,
8,199,o,
8,200,o,
7,199,o,
6,202,o,
7,208,o,
6,201,o,
8,181,o,
8,186,o,
7,183,o,
7,176,o,
8,178,o,
7,196,o,
7,204,o,
7,194,o,
7,189,o,
7,203,o,
7,185,o,
7,179,o,
7,170,o,
8,196,o,
7,197,o,
6,202,o,
7,192,o,
6,206,o,
7,207,o,
7,199,o,
7,193,o,
7,173,o,
7,196,o,
6,205,o,
7,180,o,
7,183,o,
7,191,o,
6,196,o,
7,197,o,
8,198,o,
7,196,o,
6,203,o,
6,207,o,
6,205,o,
7,183,o,
7,187,o,
7,190,o,
6,194,o,
7,185,o,
6,200,o,
7,203,o,
6,208,o,
6,202,o,
7,187,o,
7,189,o,
6,203,o,
6,209,o,
6,208,o,
7,182,o,
7,208,o,
8,198,o,
7,211,o,
6,203,o,
8,198,o,
7,209,o,
7,205,o,
7,155,o,
8,198,o,
7,202,o,
8,198,o,
7,210,o,
8,178,o,
7,209,o,
7,205,o,
6,198,o,
7,200,o,
6,197,o,
6,199,o,
6,186,o,
8,186,o,
7,189,o,
6,183,o,
7,198,o,
6,198,o,
6,204,o,
6,206,o,
7,185,o,
7,189,o,
7,183,o,
6,184,o,
7,187,o,
6,197,o,
6,193,o,
1,185,r,
2,201,r,
1,199,r,
1,195,r,
1,202,r,
1,206,r,
1,196,r,
1,195,r,
1,192,r,
0,195,r,
0,196,r,
0,200,r,
0,199,r,
0,199,r,
0,186,r,
0,192,r,
0,193,r,
0,193,r,
0,194,r,
0,194,r,
1,161,r,
1,194,r,
1,207,r,
0,195,r,
1,212,r,
0,195,r,
0,195,r,
1,209,r,
1,197,r,
1,197,r,
1,194,r,
1,178,r,
1,190,r,
1,195,r,
1,194,r,
1,197,r,
0,196,r,
0,196,r,
0,181,r,
0,187,r,
0,191,r,
0,198,r,
0,196,r,
0,199,r,
0,192,r,
0,196,r,
0,194,r,
1,195,r,
0,198,r,
